ID,Price,Bedrooms,Bathrooms,Sqft_Living,Sqft_Lot,Floors,Waterfront,View,Condition
201,300235,4,1,1314,5197,2,0,4,3
202,125939,2,2,845,8009,2,1,4,3
203,252906,4,3,2849,7667,1,0,1,4
204,642335,2,3,862,3322,1,0,0,5
205,388249,2,2,2943,10828,1,0,3,5
206,175766,3,2,2765,12307,2,0,4,5
207,508923,2,2,2688,5090,1,1,1,2
208,515192,1,2,3505,7960,1,0,4,3
209,668550,5,2,3781,4004,1,1,3,5
210,487261,5,3,1484,6136,1,0,3,5
211,910208,4,3,2139,1329,1,0,2,2
212,785440,2,2,1327,4640,1,0,1,2
213,752664,1,1,3230,13086,2,1,3,5
214,554589,4,2,4031,14808,2,0,2,1
215,237848,3,1,4951,8982,1,1,2,5
216,717075,4,2,3435,5107,1,1,4,5
217,227948,4,2,4376,2341,2,1,4,2
218,679304,2,3,626,12855,2,1,2,2
219,502690,3,1,3677,9407,1,1,4,5
220,599046,4,1,3556,1338,1,1,3,5
221,551269,1,3,1103,6895,1,1,0,5
222,121959,1,3,3949,13254,1,1,3,2
223,760890,5,3,4646,3708,2,1,2,5
224,850216,3,3,4033,12344,1,0,2,5
225,890180,3,1,3867,2750,1,0,3,4
226,328576,5,1,3868,6604,1,0,4,1
227,637833,4,2,4297,3421,1,0,4,3
228,265838,3,2,2292,8119,2,0,2,1
229,435674,1,3,3361,9901,2,1,1,4
230,979989,1,3,3976,6319,2,1,4,3
231,161087,2,3,3917,7609,1,1,3,5
232,693128,3,2,2145,14400,1,1,4,4
233,218451,4,2,1705,6387,2,1,3,5
234,547600,5,2,3530,12918,1,1,2,2
235,937437,5,2,3372,12834,1,1,4,4
236,539792,4,2,3572,4993,2,0,3,2
237,139353,2,2,2354,9680,2,0,2,4
238,293075,5,2,4521,9044,2,0,1,4
239,314283,3,3,3208,14849,2,0,3,2
240,414877,2,3,4002,9238,1,1,1,3
241,165318,3,3,1832,12551,1,1,1,1
242,865313,1,3,701,5873,2,1,0,5
243,582690,2,2,4007,14327,1,0,4,4
244,516880,5,1,4712,5806,2,1,3,5
245,691460,2,2,1074,9592,2,1,1,2
246,840976,2,1,1036,13182,1,1,0,5
247,881239,2,3,2125,6913,2,0,2,2
248,193264,2,2,2622,8124,1,1,3,5
249,870746,3,3,885,4157,1,0,1,1
250,913168,1,2,3781,13537,1,0,4,1
251,325281,4,3,974,1390,1,0,0,1
252,737147,2,1,917,13045,2,0,1,1
253,998613,5,1,4100,5430,1,1,4,1
254,494070,2,1,1454,9820,2,0,1,1
255,452228,5,2,1705,8686,2,0,3,2
256,531839,3,1,4620,5232,2,1,3,4
257,369536,5,2,2490,12122,2,1,3,5
258,417824,4,1,4072,9007,1,0,0,1
259,357426,1,1,4880,2521,1,1,3,2
260,277789,5,2,4658,10018,2,0,4,2
261,613153,5,2,3213,14014,2,0,1,2
262,842452,1,1,2703,2500,1,0,2,4
263,937291,4,2,3620,7737,2,0,4,5
264,225657,2,1,1466,4294,1,1,4,4
265,335167,5,2,3932,6085,2,0,3,3
266,781669,1,3,1188,3419,1,1,0,2
267,580671,3,3,4743,10126,2,1,1,3
268,819094,1,3,4201,4042,2,1,0,1
269,170467,3,3,841,5497,1,1,1,1
270,283734,4,3,2224,2466,2,0,1,4
271,722794,2,1,4922,4561,2,1,0,5
272,209751,1,3,2292,1614,1,0,4,3
273,481050,5,3,2259,6392,2,1,1,5
274,911774,4,3,3712,8693,1,1,0,4
275,792517,1,3,1489,10374,1,0,1,1
276,561079,5,2,2762,4223,2,0,2,5
277,468452,1,1,2982,8138,2,0,4,5
278,206081,3,3,1451,3667,2,1,3,1
279,713333,1,3,1222,8980,2,1,1,3
280,658986,1,3,3889,14409,2,0,2,1
281,210078,1,1,2579,1130,2,0,3,5
282,967055,4,2,3217,14482,2,0,3,3
283,122671,1,1,2832,3983,1,0,1,3
284,518400,5,2,3876,5278,2,1,0,1
285,455528,3,3,2000,8126,1,0,1,5
286,710490,3,3,785,13651,2,0,2,4
287,151663,1,1,3995,9230,2,0,3,5
288,115708,4,1,2565,8694,1,0,1,2
289,978338,4,2,1268,13151,2,1,0,4
290,411955,5,2,3557,7640,2,0,1,3
291,233883,1,1,4789,12779,1,1,4,4
292,418394,3,2,2661,6468,2,0,0,3
293,212547,4,1,3793,1920,2,0,2,3
294,659042,1,2,1446,8564,2,1,3,4
295,851102,4,1,3835,11961,1,0,1,3
296,862002,4,1,4650,13303,2,1,0,3
297,242483,3,1,1981,9684,2,1,4,2
298,758271,2,2,2401,14737,2,0,0,5
299,314835,5,2,3951,10323,2,1,4,5
300,501896,5,2,4564,12713,1,1,2,2
